entities_processed,system_time_avg,average_wip,max_wip,final_wip,system_time_avg_detailed,system_time_std,system_time_min,system_time_max,Manutencao_Estacao_B_queue_time,Manutencao_Estacao_B_service_time,Manutencao_Estacao_B_system_time,Inspecao_queue_time,Inspecao_service_time,Inspecao_system_time,Operador_A_utilization,Operador_A_avg_queue,Operador_A_avg_in_service,Operador_A_max_queue,Operador_B_utilization,Operador_B_avg_queue,Operador_B_avg_in_service,Operador_B_max_queue,Operador_C_utilization,Operador_C_avg_queue,Operador_C_avg_in_service,Operador_C_max_queue,Decide_Estacao_Estacao_A_percentage,Decide_Estacao_Estacao_B_percentage,Atrib_Interna_A_Para_Reparo_A_percentage,Atrib_Interna_B_Para_Reparo_B_percentage,Atrib_Externa_B_Para_Reparo_B_percentage,Decide_Inspecao_Aprovada_percentage,Decide_Inspecao_Reprovada_percentage,Decide_Aprovadas_Tipo_Ciclo_Interno_percentage,Decide_Aprovadas_Tipo_Sai_Externa_percentage,Decide_Retorno_Estacao_Volta_A_percentage,Decide_Retorno_Estacao_Volta_B_percentage,total_revenue,total_costs,net_profit,avg_revenue_per_entity,avg_cost_per_entity,avg_profit_per_entity
972,146.29002468616926,5.294426814217688,9,5,146.29002468616926,118.0165511601341,1.7324995752278483,1010.7328549535596,16.811099452069968,58.80223002038332,75.61332947245329,11.611176183213018,31.094984942608548,42.706161125821566,0.47696040361464415,0.12086240241346674,0.47696040361464415,4,0.24966835087649666,0.024724609760900736,0.24966835087649666,5,0.2887887891851416,0.03648124949511011,0.2887887891851416,4,74.96958637469587,25.03041362530414,100.0,100.0,100.0,87.44232698094282,12.557673019057173,75.4301445285616,24.569855471438405,47.44408945686901,52.55591054313099,0,0,0,0.0,0.0,0.0
1013,151.43443304292603,5.318139599074828,10,6,151.43443304292603,120.32869335829653,1.359738076920621,991.4652576175868,22.201032523318833,59.18491727060959,81.38594979392842,10.910767144057562,32.55895140101259,43.46971854507015,0.49037388607071664,0.1142108033144148,0.49037388607071664,4,0.25692058971469944,0.032217960529296534,0.25692058971469944,4,0.29629621616094337,0.03673660542399291,0.29629621616094337,5,75.99039615846338,24.009603841536613,100.0,100.0,100.0,87.88598574821853,12.114014251781473,75.0,25.0,45.588235294117645,54.41176470588235,0,0,0,0.0,0.0,0.0
1067,157.2408094401258,5.347794244760792,11,5,157.2408094401258,123.72383486825008,2.9038325012952555,779.6240359965013,22.74986650539038,60.93517619875329,83.68504270414367,13.87031656975827,30.237509084863472,44.10782565462174,0.4725523873127647,0.12754153440078264,0.4725523873127647,4,0.2739016355478529,0.04295609763839001,0.2739016355478529,5,0.2966410897539706,0.04338321011291294,0.2966410897539706,6,75.28494301139771,24.715056988602278,100.0,100.0,100.0,87.07549000582185,12.924509994178148,74.2812569645643,25.718743035435704,45.645645645645644,54.35435435435435,0,0,0,0.0,0.0,0.0
1044,155.72047191583823,5.337006991459657,10,5,155.72047191583823,130.4857468938398,2.9580724284169264,1127.978245434002,21.700407579711744,64.25700289100793,85.95741047071967,11.95327015799867,29.747319172951293,41.70058933094997,0.48415268302999753,0.11067749273793617,0.48415268302999753,4,0.2676641061242428,0.039722994625062895,0.2676641061242428,6,0.29543704041262947,0.043824790102910585,0.29543704041262947,5,75.92482100238664,24.075178997613364,100.0,100.0,100.0,87.83255086071988,12.167449139280125,74.6325167037862,25.367483296213813,43.89067524115756,56.10932475884244,0,0,0,0.0,0.0,0.0
1071,152.17175339043317,5.3378440047287645,10,5,152.17175339043317,112.51000075253998,2.020338354370324,660.2757360835094,20.083914292985718,61.79149146520326,81.87540575818898,12.8599070414843,31.615579466724796,44.475486508209094,0.47591237992788066,0.11042274027421244,0.47591237992788066,4,0.26953264735674126,0.031594020966168104,0.26953264735674126,4,0.308469775547063,0.04361156221626211,0.308469775547063,6,75.85903083700441,24.140969162995596,100.0,100.0,100.0,87.52153110047847,12.478468899521532,74.41504482834026,25.58495517165974,45.0920245398773,54.90797546012271,0,0,0,0.0,0.0,0.0
1055,155.61764232599353,5.340446256513498,11,6,155.61764232599353,126.10406254257332,2.212837204016978,909.3394409360772,25.204682940447803,61.18286719570701,86.38755013615481,10.014924911298284,31.07463568394202,41.08956059524031,0.46766515446477835,0.09470659854057621,0.46766515446477835,4,0.27353887792777076,0.05030871854498268,0.27353887792777076,8,0.2950933495096042,0.032530900799365825,0.2950933495096042,5,74.8593426117856,25.140657388214393,100.0,100.0,100.0,87.98909869573681,12.01090130426319,74.71238938053098,25.287610619469024,45.05672609400324,54.94327390599676,0,0,0,0.0,0.0,0.0
1004,153.36816405862277,5.317848052201988,10,5,153.36816405862277,128.1744071607331,1.8458192814141512,902.1839902674838,21.94578468677557,57.928100818067016,79.87388550484259,12.488756240246305,31.19948463901528,43.688240879261585,0.4870182847008959,0.11962050967290247,0.4870182847008959,4,0.2588581217219284,0.0346844915164425,0.2588581217219284,7,0.29516255947389525,0.04043732654443116,0.29516255947389525,5,73.84803173634423,26.151968263655785,100.0,100.0,100.0,87.24041533546327,12.75958466453674,75.00572213321126,24.99427786678874,46.165884194053206,53.834115805946794,0,0,0,0.0,0.0,0.0
1093,156.582652595876,5.354777859219085,10,5,156.58265259587597,121.60534338748917,1.5115158364351373,959.3910237948876,20.872664031702975,63.8401843243809,84.71284835608388,13.12547020745133,29.00276013275737,42.1282303402087,0.4889979114429354,0.10825958155164261,0.4889979114429354,4,0.27510823220783237,0.03524008955464504,0.27510823220783237,4,0.304540604221509,0.03777903810969583,0.304540604221509,5,75.55756479807113,24.442435201928873,100.0,100.0,100.0,87.47812560762202,12.52187439237799,73.72749499888864,26.272505001111355,45.49689440993789,54.503105590062106,0,0,0,0.0,0.0,0.0
1056,162.15108598961217,5.3549576011712965,10,5,162.15108598961214,130.62308333093122,4.32622277981136,1027.9161486850935,28.57679186256751,63.73897078100088,92.31576264356839,11.460514018548455,30.7782771475946,42.23879116614306,0.48853534389355224,0.11998545154247298,0.48853534389355224,4,0.2846447268515857,0.05094779756896607,0.2846447268515857,5,0.3063715505163081,0.035912286238043746,0.3063715505163081,5,74.26814988290398,25.731850117096016,100.0,100.0,100.0,87.15211589782692,12.847884102173085,74.69378827646544,25.30621172353456,45.99406528189911,54.00593471810089,0,0,0,0.0,0.0,0.0
1012,146.5788467363956,5.307499570682505,9,5,146.5788467363956,111.24011088601058,3.6548213090281934,936.5142203728901,19.613567564173955,60.36383060367375,79.9773981678477,12.37622443519097,30.036263327106877,42.41248776229784,0.48422152249418277,0.10257760619256405,0.48422152249418277,4,0.25462505505628147,0.03265749746244587,0.25462505505628147,4,0.2953064934234094,0.03510918926107495,0.2953064934234094,6,76.74488567990373,23.255114320096272,100.0,100.0,100.0,87.89682539682539,12.103174603174603,75.01128668171557,24.988713318284425,48.36065573770492,51.63934426229508,0,0,0,0.0,0.0,0.0
1125,155.54041231341915,5.362734170507045,11,5,155.54041231341915,118.95536504824116,2.860465069534257,795.8588229693123,23.695616025081563,62.63399708123678,86.32961310631833,11.95117137554738,28.97127131858104,40.92244269412842,0.4836848078518035,0.11103356565396234,0.4836848078518035,4,0.2824343896822026,0.045986476227333,0.2824343896822026,6,0.3011584228761818,0.04297383777709295,0.3011584228761818,5,74.23929098966026,25.76070901033973,100.0,100.0,100.0,87.67565514622105,12.32434485377896,73.2943469785575,26.705653021442494,41.60246533127889,58.39753466872111,0,0,0,0.0,0.0,0.0
1143,152.4011926885059,5.361063924124411,11,5,152.4011926885059,121.76159327055046,2.304097355750855,878.0867081375327,22.310913328664565,62.29633710348593,84.6072504321505,11.476222599475449,28.075336528814756,39.55155912829021,0.48393805881801966,0.12387638006434866,0.48393805881801966,4,0.2825980965064397,0.044091185974482625,0.2825980965064397,6,0.2941952517831221,0.04117477672199374,0.2941952517831221,5,75.99645704162977,24.00354295837024,100.0,100.0,100.0,87.76443682104059,12.235563178959405,73.52877307274701,26.47122692725298,44.54828660436137,55.45171339563863,0,0,0,0.0,0.0,0.0
1018,161.4941291616805,5.340952398131308,11,6,161.4941291616805,127.26642537966582,3.466328887210693,1010.2848256944562,23.774217279472285,63.58759733438469,87.36181461385698,13.2027560429026,30.50757427966956,43.710330322572155,0.4793111569743011,0.09384224455225251,0.4793111569743011,4,0.2792985196161742,0.0428877051429898,0.2792985196161742,5,0.2923278155089129,0.040610188924619574,0.2923278155089129,5,74.01574803149606,25.984251968503933,100.0,100.0,100.0,86.97957580518461,13.020424194815398,74.53149695190788,25.468503048092124,42.53393665158371,57.466063348416284,0,0,0,0.0,0.0,0.0
1078,150.37432190052772,5.336035487165769,10,5,150.37432190052772,129.74454582191865,4.480220016499516,1415.7197978508775,22.84609976381548,60.473025578855435,83.31912534267092,11.0714497015725,29.711267635622676,40.78271733719517,0.45281802474562305,0.09771599764919772,0.45281802474562305,4,0.27744454302046173,0.04021877918744577,0.27744454302046173,5,0.2900485375754053,0.03335280109550158,0.2900485375754053,5,74.38732815301853,25.61267184698147,100.0,100.0,100.0,89.21063070210235,10.78936929789766,74.36638506002667,25.63361493997332,44.48529411764706,55.51470588235294,0,0,0,0.0,0.0,0.0
1045,155.79860675957826,5.3374990548585455,11,5,155.79860675957823,141.08677865786424,3.487874392129015,1046.8835567045899,24.314504520080966,62.40553238564809,86.72003690572906,10.486211674130747,29.785527913803616,40.27173958793436,0.4734272391578786,0.11365243796224671,0.4734272391578786,4,0.26529727771402395,0.046141466889490994,0.26529727771402395,5,0.3003442182520013,0.039795062203137326,0.3003442182520013,5,76.00469345849223,23.995306541507773,100.0,100.0,100.0,88.58030685570013,11.419693144299863,74.69853102389827,25.30146897610173,43.197278911564624,56.80272108843537,0,0,0,0.0,0.0,0.0
1011,161.33169796607868,5.338114317254779,10,5,161.33169796607868,133.2897499415678,5.611030554631725,1300.4918435707805,23.72505370303567,63.389419354341555,87.11447305737723,12.320947547465586,31.484219848238205,43.80516739570379,0.4740301811689468,0.10975943155202778,0.4740301811689468,4,0.28166311015449175,0.03846563058480634,0.28166311015449175,5,0.30219109384104326,0.038854914250491306,0.30219109384104326,6,74.23529411764706,25.76470588235294,100.0,100.0,100.0,87.90007806401249,12.09992193598751,75.42184724689164,24.57815275310835,43.54838709677419,56.451612903225815,0,0,0,0.0,0.0,0.0
1019,164.61086564108925,5.347493420999651,12,5,164.61086564108925,135.35107866825186,5.345692860559211,860.67853223352,27.336320982239787,62.97594589584119,90.31226687808098,10.91672831314423,30.448266546948087,41.36499486009232,0.481382060954552,0.10307721201622651,0.481382060954552,4,0.2761956074503167,0.047046692192326774,0.2761956074503167,7,0.3040207906094002,0.0384168750490225,0.3040207906094002,6,75.139911634757,24.860088365243005,100.0,100.0,100.0,87.3070987654321,12.692901234567902,75.01104728236854,24.988952717631463,44.52887537993921,55.471124620060785,0,0,0,0.0,0.0,0.0
1085,161.23037091310678,5.362634644363018,12,5,161.23037091310678,125.25432402860135,3.7875506851123646,1060.0666337224538,23.858628889061663,62.05357700710501,85.91220589616667,13.926298439357733,32.371016996618806,46.297315435976536,0.4676738672809882,0.09511105014807729,0.4676738672809882,4,0.28371943316928755,0.05164447074378093,0.28371943316928755,5,0.313018358025452,0.0461319420516197,0.313018358025452,5,75.67648827420325,24.323511725796752,100.0,100.0,100.0,87.31415331145008,12.685846688549912,73.52941176470588,26.47058823529412,43.22678843226788,56.77321156773212,0,0,0,0.0,0.0,0.0
1106,158.43766596149388,5.363235546890884,10,5,158.43766596149388,127.05334552939642,4.690227299317485,1176.872247893596,28.702042531891724,60.81590468841408,89.5179472203058,12.14872779427528,28.837607356505536,40.98633515078082,0.47253256761973655,0.11362826382504977,0.47253256761973655,4,0.29093692675212623,0.05652706471319376,0.29093692675212623,6,0.2977601761455265,0.0387689357561528,0.2977601761455265,5,74.55143540669856,25.448564593301437,100.0,100.0,100.0,88.0643286184848,11.93567138151521,73.50935093509351,26.490649064906492,43.18181818181818,56.81818181818182,0,0,0,0.0,0.0,0.0
1063,164.47712936130233,5.362324695918424,9,5,164.47712936130233,155.62728221307347,1.605081337154843,2396.4974557599635,27.108843206692843,62.83421298921877,89.94305619591161,11.398492518884698,30.591155997353756,41.989648516238454,0.4728498599006832,0.09574752857994083,0.4728498599006832,4,0.28680325615363,0.053266157346546224,0.28680325615363,5,0.3018933689427159,0.043971924335983355,0.3018933689427159,5,74.72754050073638,25.272459499263622,100.0,100.0,100.0,87.3967339097022,12.60326609029779,74.63178720597934,25.36821279402066,41.46341463414634,58.536585365853654,0,0,0,0.0,0.0,0.0
1113,160.96690068761905,5.371522499801565,11,6,160.96690068761905,134.983753780131,2.6450139372609556,1199.3254794673412,25.449946520967046,62.4284768006601,87.87842332162715,13.733191380171215,30.381403954436117,44.11459533460733,0.47918890834320477,0.10109093458423767,0.47918890834320477,4,0.2819947382732649,0.047066933480041366,0.2819947382732649,4,0.30548070051652026,0.04351950838560337,0.30548070051652026,5,74.7289156626506,25.271084337349397,100.0,100.0,100.0,87.3135773774937,12.686422622506294,73.62466725820764,26.375332741792366,46.412213740458014,53.58778625954198,0,0,0,0.0,0.0,0.0
